time,w_expl_0,w_expl_1,w_RK2_0,w_RK2_1,exact_solution_0,exact_solution_1
14.050000,0.140171,1.413286,0.081245,0.996914,0.087057,0.996203
14.100000,0.069507,1.420294,0.031298,0.999731,0.037158,0.999309
14.150000,-0.001508,1.423770,-0.018728,1.000046,-0.012833,0.999918
14.200000,-0.072696,1.423694,-0.068706,0.997859,-0.062792,0.998027
14.250000,-0.143881,1.420059,-0.118513,0.993177,-0.112594,0.993641
14.300000,-0.214884,1.412865,-0.168024,0.986010,-0.162114,0.986772
14.350000,-0.285527,1.402121,-0.217115,0.976376,-0.211230,0.977436
14.400000,-0.355633,1.387845,-0.265662,0.964300,-0.259817,0.965658
14.450000,-0.425026,1.370063,-0.313545,0.949811,-0.307755,0.951466
14.500000,-0.493529,1.348812,-0.360644,0.932947,-0.354924,0.934895
14.550000,-0.560969,1.324135,-0.406840,0.913748,-0.401206,0.915988
14.600000,-0.627176,1.296087,-0.452019,0.892264,-0.446485,0.894791
14.650000,-0.691980,1.264728,-0.496067,0.868548,-0.490648,0.871358
14.700000,-0.755217,1.230129,-0.538874,0.842659,-0.533584,0.845747
14.750000,-0.816723,1.192368,-0.580334,0.814662,-0.575187,0.818022
14.800000,-0.876342,1.151532,-0.620341,0.784627,-0.615352,0.788252
14.850000,-0.933918,1.107715,-0.658797,0.752629,-0.653980,0.756512
14.900000,-0.989304,1.061019,-0.695605,0.718748,-0.690972,0.722881
14.950000,-1.042355,1.011554,-0.730673,0.683070,-0.726238,0.687444
15.000000,-1.092933,0.959436,-0.763913,0.645682,-0.759688,0.650288
15.050000,-1.140904,0.904789,-0.795243,0.606679,-0.791239,0.611507
15.100000,-1.186144,0.847744,-0.824582,0.566159,-0.820813,0.571197
15.150000,-1.228531,0.788437,-0.851860,0.524222,-0.848335,0.529459
15.200000,-1.267953,0.727011,-0.877006,0.480974,-0.873737,0.486399
15.250000,-1.304304,0.663613,-0.899958,0.436522,-0.896955,0.442122
15.300000,-1.337484,0.598398,-0.920660,0.390979,-0.917931,0.396741
15.350000,-1.367404,0.531523,-0.939058,0.344457,-0.936612,0.350367
15.400000,-1.393980,0.463153,-0.955107,0.297073,-0.952953,0.303118
15.450000,-1.417138,0.393454,-0.968766,0.248947,-0.966912,0.255112
15.500000,-1.436811,0.322597,-0.980003,0.200197,-0.978453,0.206467
15.550000,-1.452941,0.250757,-0.988788,0.150947,-0.987550,0.157307
15.600000,-1.465478,0.178110,-0.995099,0.101319,-0.994178,0.107754
15.650000,-1.474384,0.104836,-0.998921,0.051437,-0.998321,0.057931
15.700000,-1.479626,0.031117,-1.000244,0.001427,-0.999968,0.007963
15.750000,-1.481181,-0.042865,-0.999065,-0.048587,-0.999117,-0.042024
15.800000,-1.479038,-0.116924,-0.995387,-0.098480,-0.995768,-0.091907
15.850000,-1.473192,-0.190876,-0.989219,-0.148126,-0.989930,-0.141560
15.900000,-1.463648,-0.264535,-0.980576,-0.197402,-0.981618,-0.190859
15.950000,-1.450422,-0.337718,-0.969480,-0.246184,-0.970852,-0.239680
16.000000,-1.433536,-0.410239,-0.955959,-0.294350,-0.957659,-0.287903
16.050000,-1.413024,-0.481915,-0.940047,-0.341780,-0.942073,-0.335407
16.100000,-1.388928,-0.552567,-0.921783,-0.388355,-0.924133,-0.382071
16.150000,-1.361300,-0.622013,-0.901213,-0.433959,-0.903882,-0.427781
16.200000,-1.330199,-0.690078,-0.878388,-0.478477,-0.881372,-0.472422
16.250000,-1.295695,-0.756588,-0.853366,-0.521798,-0.856660,-0.515882
16.300000,-1.257866,-0.821373,-0.826210,-0.563814,-0.829806,-0.558052
16.350000,-1.216797,-0.884266,-0.796986,-0.604420,-0.800878,-0.598828
16.400000,-1.172584,-0.945106,-0.765769,-0.643514,-0.769948,-0.638107
16.450000,-1.125328,-1.003735,-0.732636,-0.680998,-0.737094,-0.675791
16.500000,-1.075142,-1.060001,-0.697671,-0.716779,-0.702397,-0.711785
16.550000,-1.022142,-1.113759,-0.660959,-0.750766,-0.665945,-0.746001
16.600000,-0.966454,-1.164866,-0.622595,-0.782876,-0.627828,-0.778352
16.650000,-0.908210,-1.213188,-0.582673,-0.813027,-0.588142,-0.808758
16.700000,-0.847551,-1.258599,-0.541293,-0.841144,-0.546986,-0.837142
